ADDRESS,IMAP,imap port,SMTP,smtp port
420blaze.it,mail.cock.li,993.00,mail.cock.li,587.00
8chan.co,mail.cock.li,993.00,mail.cock.li,587.00
aaathats3as.com,mail.cock.li,993.00,mail.cock.li,587.00
accountant.com,imap.mail.com,993.00,smtp.mail.com,587.00
activist.com,imap.mail.com,993.00,smtp.mail.com,587.00
adexec.com,imap.mail.com,993.00,smtp.mail.com,587.00
airmail.cc,mail.cock.li,993.00,mail.cock.li,587.00
allergist.com,imap.mail.com,993.00,smtp.mail.com,587.00
alumni.bits-pilani.ac.in,imap.gmail.com,993.00,smtp.gmail.com,465.00
alumni.com,imap.mail.com,993.00,smtp.mail.com,587.00
alumnidirector.com,imap.mail.com,993.00,smtp.mail.com,587.00
alunos.utfpr.edu.br,imap.gmail.com,993.00,smtp.gmail.com,587.00
anche.no,mail.autistici.org,993.00,smtp.autistici.org,465.00
angelic.com,imap.mail.com,993.00,smtp.mail.com,587.00
aol.com,imap.aol.com,993.00,smtp.aol.com,465.00
appraiser.net,imap.mail.com,993.00,smtp.mail.com,587.00
archaeologist.com,imap.mail.com,993.00,smtp.mail.com,587.00
arcticmail.com,imap.mail.com,993.00,smtp.mail.com,587.00
artlover.com,imap.mail.com,993.00,smtp.mail.com,587.00
asia.com,imap.mail.com,993.00,smtp.mail.com,587.00
auctioneer.net,imap.mail.com,993.00,smtp.mail.com,587.00
autistiche.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
autistici.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
autograf.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
autoproduzioni.net,mail.autistici.org,993.00,smtp.autistici.org,465.00
bartender.net,imap.mail.com,993.00,smtp.mail.com,587.00
bastardi.net,mail.autistici.org,993.00,smtp.autistici.org,465.00
bguth.de,wp300.webpack.hosteurope.de,993.00,wp300.webpack.hosteurope.de,587.00
bikerider.com,imap.mail.com,993.00,smtp.mail.com,587.00
billycarlyle.uk,mail.muny.us,993.00,mail.muny.us,465.00
birdlover.com,imap.mail.com,993.00,smtp.mail.com,587.00
bjoernguthphotography.de,wp300.webpack.hosteurope.de,993.00,wp300.webpack.hosteurope.de,587.00
brew-meister.com,imap.mail.com,993.00,smtp.mail.com,587.00
bruttocarattere.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
canaglie.net,mail.autistici.org,993.00,smtp.autistici.org,465.00
canaglie.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
carleton.ca,imap-mail.outlook.com,993.00,smtp-mail.outlook.com,587.00
cash4u.com,imap.mail.com,993.00,smtp.mail.com,587.00
cheerful.com,imap.mail.com,993.00,smtp.mail.com,587.00
chef.net,imap.mail.com,993.00,smtp.mail.com,587.00
chemist.com,imap.mail.com,993.00,smtp.mail.com,587.00
chrissx.ga,chrissx.ga,993.00,chrissx.ga,25.00
clarkson.edu,imap.gmail.com,993.00,smtp.gmail.com,587.00
clerk.com,imap.mail.com,993.00,smtp.mail.com,587.00
clubmember.org,imap.mail.com,993.00,smtp.mail.com,587.00
cmail.carleton.ca,imap-mail.outlook.com,993.00,smtp-mail.outlook.com,587.00
cocaine.ninja,mail.cock.li,993.00,mail.cock.li,587.00
cock.email,mail.cock.li,993.00,mail.cock.li,587.00
cock.li,mail.cock.li,993.00,mail.cock.li,587.00
cock.lu,mail.cock.li,993.00,mail.cock.li,587.00
collector.org,imap.mail.com,993.00,smtp.mail.com,587.00
columnist.com,imap.mail.com,993.00,smtp.mail.com,587.00
comic.com,imap.mail.com,993.00,smtp.mail.com,587.00
computer4u.com,imap.mail.com,993.00,smtp.mail.com,587.00
consultant.com,imap.mail.com,993.00,smtp.mail.com,587.00
contractor.net,imap.mail.com,993.00,smtp.mail.com,587.00
coolsite.net,imap.mail.com,993.00,smtp.mail.com,587.00
counsellor.com,imap.mail.com,993.00,smtp.mail.com,587.00
cryptolab.net,mail.autistici.org,993.00,smtp.autistici.org,465.00
cumallover.me,mail.cock.li,993.00,mail.cock.li,587.00
cyberservices.com,imap.mail.com,993.00,smtp.mail.com,587.00
datentopf.org,mail.datentopf.org,993.00,mail.datentopf.org,587.00
deliveryman.com,imap.mail.com,993.00,smtp.mail.com,587.00
dicksinhisan.us,mail.cock.li,993.00,mail.cock.li,587.00
dicksinmyan.us,mail.cock.li,993.00,mail.cock.li,587.00
diplomats.com,imap.mail.com,993.00,smtp.mail.com,587.00
disroot.org,disroot.org,993.00,disroot.org,587.00
distruzione.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
dr.com,imap.mail.com,993.00,smtp.mail.com,587.00
duke.edu,outlook.office365.com,993.00,smtp.office365.com,587.00
email.arizona.edu,imap.gmail.com,993.00,smtp.gmail.com,587.00
email.com,imap.mail.com,993.00,smtp.mail.com,587.00
eneco.com,outlook.office365.com,993.00,smtp.office365.com,587.00
engineer.com,imap.mail.com,993.00,smtp.mail.com,587.00
erciyes.edu.tr,posta.erciyes.edu.tr,993.00,smtp.erciyes.edu.tr,587.00
ethancoe.com,mail.privateemail.com,993.00,mail.privateemail.com,465.00
etu.upmc.fr,courriel.upmc.fr,993.00,smtps.upmc.fr,587.00
europe.com,imap.mail.com,993.00,smtp.mail.com,587.00
fastmail.com,imap.fastmail.com,993.00,smtp.fastmail.com,465.00
fastmail.fm,imap.fastmail.com,993.00,smtp.fastmail.com,465.00
firemail.cc,mail.cock.li,993.00,mail.cock.li,587.00
forpsi.com,imap.forpsi.com,993.00,smtp.forpsi.com,465.00
forthnet.gr,mail.forthnet.gr,993.00,smtp-auth.forthnet.gr,465.00
fsmpi.rwth-aachen.de,mail.fsmpi.rwth-aachen.de,993.00,mail.fsmpi.rwth-aachen.de,465.00
fsu-jena,exchange.uni-jena.de,993.00,smtp.uni-jena.de,587.00
getbackinthe.kitchen,mail.cock.li,993.00,mail.cock.li,587.00
gmail.com,imap.gmail.com,993.00,smtp.gmail.com,587.00
gmx.at,imap.gmx.net,993.00,mail.gmx.net,587.00
gmx.com,imap.gmx.net,993.00,mail.gmx.net,587.00
gmx.de,imap.gmx.net,993.00,mail.gmx.net,587.00
gmx.eu,imap.gmx.net,993.00,mail.gmx.net,587.00
gmx.fr,imap.gmx.com,993.00,mail.gmx.com,587.00
gmx.info,imap.gmx.net,993.00,mail.gmx.net,587.00
gmx.net,imap.gmx.net,993.00,mail.gmx.net,587.00
gmx.org,imap.gmx.net,993.00,mail.gmx.net,587.00
go2.pl,poczta.o2.pl,993.00,poczta.o2.pl,465.00
goat.si,mail.cock.li,993.00,mail.cock.li,587.00
googlemail.com,imap.googlemail.com,993.00,smtp.googlemail.com,587.00
grrlz.net,mail.autistici.org,993.00,smtp.autistici.org,465.00
hacari.com,mail.autistici.org,993.00,smtp.autistici.org,465.00
hacari.net,mail.autistici.org,993.00,smtp.autistici.org,465.00
hacari.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
hhu.de,mail.hhu.de,993.00,mail.hhu.de,465.00
hitler.rocks,mail.cock.li,993.00,mail.cock.li,587.00
horsefucker.org,mail.cock.li,993.00,mail.cock.li,587.00
hostgator,gator4171.hostgator.com,993.00,gator4171.hostgator.com,587.00
hotmail.be,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.ca,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.cl,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.co.id,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.co.il,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.co.in,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.co.jp,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.co.kr,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.co.th,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.co.uk,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.co.za,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.com,imap-mail.outlook.com,993.00,smtp-mail.outlook.com,587.00
hotmail.com.ar,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.com.au,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.com.br,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.com.hk,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.com.tr,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.com.tw,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.com.vn,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.cz,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.de,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.dk,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.es,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.fi,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.fr,imap-mail.outlook.com,993.00,smtp-mail.outlook.com,587.00
hotmail.gr,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.hu,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.it,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.lt,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.lv,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.my,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.nl,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.no,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.ph,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.rs,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.se,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.sg,outlook.office365.com,993.00,smtp.office365.com,587.00
hotmail.sk,outlook.office365.com,993.00,smtp.office365.com,587.00
hushmail.com,imap.hushmail.com,993.00,smtp.hushmail.com,465.00
illinois.edu,imap.gmail.com,993.00,smtp.gmail.com,465.00
iname.com,imap.mail.com,993.00,smtp.mail.com,587.00
inf.h-brs.de,imap.inf.h-brs.de,993.00,smtp.inf.h-brs.de,587.00
infomaniak.com,imap.infomaniak.com,993.00,imap.infomaniak.com,587.00
insiberia.net,mail.autistici.org,993.00,smtp.autistici.org,465.00
insicuri.net,mail.autistici.org,993.00,smtp.autistici.org,465.00
interactio.io,imap.gmail.com,993.00,smtp.gmail.com,587.00
interia.eu,poczta.interia.pl,993.00,poczta.interia.pl,465.00
interia.pl,poczta.interia.pl,993.00,poczta.interia.pl,465.00
inventati.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
itu.dk,imap-mail.outlook.com,993.00,smtp-mail.outlook.com,587.00
kipras.org,mail.kipras.org,993.00,mail.kipras.org,587.00
krutt.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
kth.se,webmail.kth.se,993.00,smtp.kth.se,587.00
lavabit.com,lavabit.com,993.00,lavabit.com,587.00
linuxmail.org,imap.mail.com,993.00,smtp.mail.com,587.00
live.com,imap-mail.outlook.com,993.00,smtp-mail.outlook.com,587.00
logorroici.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
loves.dicksinhisan.us,mail.cock.li,993.00,mail.cock.li,587.00
loves.dicksinmyan.us,mail.cock.li,993.00,mail.cock.li,587.00
lukesmith.xyz,mail.lukesmith.xyz,993.00,mail.lukesmith.xyz,587.00
mail.com,imap.mail.com,993.00,smtp.mail.com,587.00
mail.polimi.it,outlook.office365.com,993.00,smtp.office365.com,587.00
mail.ru,imap.mail.ru,993.00,smtp.mail.ru,465.00
mailbox.org,imap.mailbox.org,993.00,smtp.mailbox.org,587.00
memeware.net,mail.cock.li,993.00,mail.cock.li,587.00
ml1.net,imap.fastmail.com,993.00,smtp.fastmail.com,465.00
mortemale.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
msn.com,imap-mail.outlook.com,993.00,smtp-mail.outlook.com,587.00
muny.us,mail.muny.us,993.00,mail.muny.us,465.00
myself.com,imap.mail.com,993.00,smtp.mail.com,587.00
narod.ru,imap.yandex.com,993.00,smtp.yandex.com,587.00
national.shitposting.agency,mail.cock.li,993.00,mail.cock.li,587.00
netcourrier.com,mail.netcourrier.com,993.00,mail.netcourrier.com,465.00
nigge.rs,mail.cock.li,993.00,mail.cock.li,587.00
nuke.africa,mail.cock.li,993.00,mail.cock.li,587.00
nyu.edu,imap.gmail.com,993.00,smtp.gmail.com,587.00
o2.pl,poczta.o2.pl,993.00,poczta.o2.pl,465.00
odu.edu,imap.gmail.com,993.00,smtp.gmail.com,587.00
one.com,imap.one.com,993.00,send.one.com,465.00
onenetbeyond.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
onet.com.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
onet.eu,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
onet.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,587.00
online.de,imap.1und1.de,993.00,smtp.1und1.de,465.00
op.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
opoczta.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
orange.fr,imap.orange.fr,993.00,smtp.orange.fr,465.00
outlook.at,imap-mail.outlook.com,993.00,smtp-mail.outlook.com,587.00
outlook.com,imap-mail.outlook.com,993.00,smtp-mail.outlook.com,587.00
outlook.de,imap-mail.outlook.com,993.00,smtp-mail.outlook.com,587.00
paranoici.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
pm.me,127.0.0.1,1143.00,127.0.0.1,1025.00
poczta.fm,poczta.interia.pl,993.00,poczta.interia.pl,465.00
poczta.onet.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
polimi.it,outlook.office365.com,993.00,smtp.office365.com,587.00
post.com,imap.mail.com,993.00,smtp.mail.com,587.00
posteo.de,posteo.de,993.00,posteo.de,587.00
posteo.net,posteo.de,993.00,posteo.de,587.00
privacyrequired.com,mail.autistici.org,993.00,smtp.autistici.org,465.00
prokonto.pl,poczta.o2.pl,993.00,poczta.o2.pl,465.00
protonmail.ch,127.0.0.1,1143.00,127.0.0.1,1025.00
protonmail.com,127.0.0.1,1143.00,127.0.0.1,1025.00
rape.lol,mail.cock.li,993.00,mail.cock.li,587.00
redchan.it,mail.cock.li,993.00,mail.cock.li,587.00
runbox.com,mail.runbox.com,993.00,mail.runbox.com,587.00
rwth-aachen.de,mail.rwth-aachen.de,993.00,mail.rwth-aachen.de,587.00
sapo.pt,imap.sapo.pt,993.00,smtp.sapo.pt,587.00
smail.inf.h-brs.de,imap.inf.h-brs.de,993.00,smtp.inf.h-brs.de,587.00
southwales.ac.uk,imap.gmail.com,993.00,smtp.gmail.com,587.00
spoko.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
stevens.edu,imap-mail.outlook.com,993.00,smpt-mail.outlook.com,587.00
stronzi.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
stud.tu-darmstadt.de,imap.stud.tu-darmstadt.de,993.00,smtp.tu-darmstadt.de,465.00
stud.uis.no,outlook.office365.com,993.00,smtp.office365.com,587.00
stud.uni-bamberg.de,outlook.office365.com,993.00,smtp.office365.com,587.00
student.rmit.edu.au,outlook.office365.com,993.00,smtp.office365.com,587.00
students.southwales.ac.uk,imap.gmail.com,993.00,smtp.gmail.com,587.00
studserv.uni-leipzig.de,studserv.uni-leipzig.de,993.00,studserv.uni-leipzig.de,25.00
subvertising.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
t-online.de,secureimap.t-online.de,993.00,securesmtp.t-online.de,465.00
techie.com,imap.mail.com,993.00,smtp.mail.com,587.00
teknik.io,mail.teknik.io,993.00,mail.teknik.io,587.00
telenet.be,imap.telenet.be,993.00,smtp.telenet.be,587.00
tfwno.gf,mail.cock.li,993.00,mail.cock.li,587.00
tlen.pl,poczta.o2.pl,993.00,poczta.o2.pl,465.00
tquad.ai,imap.mail.eu-west-1.awsapps.com,993.00,smtp.mail.eu-west-1.awsapps.com,465.00
tu-harburg.de,mail.tu-harburg.de,993.00,mail.tu-harburg.de,587.00
tuhh.de,mail.tu-harburg.de,993.00,mail.tu-harburg.de,587.00
txstate.edu,outlook.office365.com,993.00,smtp.office365.com,587.00
uach.mx,imap.gmail.com,993.00,smtp.gmail.com,587.00
uni-duesseldorf.de,mail.hhu.de,993.00,mail.hhu.de,465.00
uoregon.edu,imap.uoregon.edu,993.00,smtp.uoregon.edu,587.00
uqtr.ca,outlook.office365.com,993.00,smtp.office365.com,587.00
usa.com,imap.mail.com,993.00,smtp.mail.com,587.00
utas.edu.au,outlook.office365.com,993.00,smtp.office365.com,587.00
utdallas.edu,outlook.office365.com,993.00,smtp.office365.com,587.00
uw.edu,imap.gmail.com,993.00,smtp.gmail.com,465.00
uymail.com,imap.mail.com,993.00,smtp.mail.com,587.00
vip.onet.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
vivaldi.net,imap.vivaldi.net,993.00,smtp.vivaldi.net,587.00
vp.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
vt.edu,imap.gmail.com,993.00,smtp.gmail.com,587.00
waifu.club,mail.cock.li,993.00,mail.cock.li,587.00
wanadoo.fr,imap.orange.fr,993.00,smtp.orange.fr,465.00
wants.dicksinhisan.us,mail.cock.li,993.00,mail.cock.li,587.00
wants.dicksinmyan.us,mail.cock.li,993.00,mail.cock.li,587.00
web.de,imap.web.de,993.00,smtp.web.de,587.00
wp.pl,imap.wp.pl,993.00,smtp.wp.pl,465.00
writeme.com,imap.mail.com,993.00,smtp.mail.com,587.00
ya.ru,imap.yandex.com,993.00,smtp.yandex.com,587.00
yahoo.com,imap.mail.yahoo.com,993.00,smtp.mail.yahoo.com,587.00
yahoo.fr,imap.mail.yahoo.com,993.00,smtp.mail.yahoo.com,587.00
yahoo.gr,imap.mail.yahoo.com,993.00,smtp.mail.yahoo.com,587.00
yandex.by,imap.yandex.com,993.00,smtp.yandex.com,587.00
yandex.com,imap.yandex.com,993.00,smtp.yandex.com,587.00
yandex.kz,imap.yandex.com,993.00,smtp.yandex.com,587.00
yandex.net,imap.yandex.com,993.00,smtp.yandex.com,587.00
yandex.ru,imap.yandex.com,993.00,smtp.yandex.com,587.00
yandex.ua,imap.yandex.com,993.00,smtp.yandex.com,587.00
zoho.com,imap.zoho.com,993.00,smtp.zoho.com,465.00
tlu.edu,imap-mail.outlook.com,993.00,smtp-mail.outlook.com,587.00
mailo.com,mail.mailo.com,993.00,mail.mailo.com,465.00
mail.mcgill.ca,outlook.office365.com,993.00,smtp.office365.com,587.00
ua.pt,outlook.office365.com,993.00,mail.ua.pt,25.00
studenti.unitn.it,imap.gmail.com,993,smtp.gmail.com,587
,,,,
